"V1","V2","V3","V4","V5","V6"
"C859","2","C8592","Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Non-Hodgkin lymphoma, unspecified, intrathoracic lymph nodes","Non-Hodgkin lymphoma, unspecified"
"C859","3","C8593","Non-Hodgkin lymphoma, unsp, intra-abdominal lymph nodes","Non-Hodgkin lymphoma, unspecified, intra-abdominal lymph nodes","Non-Hodgkin lymphoma, unspecified"
"C859","4","C8594","Non-Hodgkin lymphoma, unsp, nodes of axilla and upper limb","Non-Hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb","Non-Hodgkin lymphoma, unspecified"
"C859","5","C8595","Non-hodg lymphoma, unsp, nodes of ing region and lower limb","Non-Hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb","Non-Hodgkin lymphoma, unspecified"
"C859","6","C8596","Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Non-Hodgkin lymphoma, unspecified, intrapelvic lymph nodes","Non-Hodgkin lymphoma, unspecified"
"C859","7","C8597","Non-Hodgkin lymphoma, unspecified, spleen","Non-Hodgkin lymphoma, unspecified, spleen","Non-Hodgkin lymphoma, unspecified"
"C859","8","C8598","Non-Hodgkin lymphoma, unsp, lymph nodes of multiple sites","Non-Hodgkin lymphoma, unspecified, lymph nodes of multiple sites","Non-Hodgkin lymphoma, unspecified"
"C859","9","C8599","Non-Hodgkin lymphoma, unsp, extranodal and solid organ sites","Non-Hodgkin lymphoma, unspecified, extranodal and solid organ sites","Non-Hodgkin lymphoma, unspecified"
"C86","0","C860","Extranodal NK/T-cell lymphoma, nasal type","Extranodal NK/T-cell lymphoma, nasal type","Other specified types of T/NK-cell lymphoma"
"C86","1","C861","Hepatosplenic T-cell lymphoma","Hepatosplenic T-cell lymphoma","Other specified types of T/NK-cell lymphoma"
"C86","2","C862","Enteropathy-type (intestinal) T-cell lymphoma","Enteropathy-type (intestinal) T-cell lymphoma","Other specified types of T/NK-cell lymphoma"
"C86","3","C863","Subcutaneous panniculitis-like T-cell lymphoma","Subcutaneous panniculitis-like T-cell lymphoma","Other specified types of T/NK-cell lymphoma"
"C86","4","C864","Blastic NK-cell lymphoma","Blastic NK-cell lymphoma","Other specified types of T/NK-cell lymphoma"
"C86","5","C865","Angioimmunoblastic T-cell lymphoma","Angioimmunoblastic T-cell lymphoma","Other specified types of T/NK-cell lymphoma"
"C88","4","C884","Extrnod mrgnl zn B-cell lymph of mucosa-assoc lymphoid tiss","Extranodal marginal zone B-cell lymphoma of mucosa-associated lymphoid tissue [MALT-lymphoma]","Malignant immunoproliferative diseases and certain other B-cell lymphomas"
"C915","0","C9150","Adult T-cell lymph/leuk (HTLV-1-assoc) not achieve remission","Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission","Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
"C915","1","C9151","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in remission","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission","Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
"C915","2","C9152","Adult T-cell lymphoma/leukemia (HTLV-1-assoc), in relapse","Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse","Adult T-cell lymphoma/leukemia (HTLV-1-associated)"
"Z857","1","Z8571","Personal history of Hodgkin lymphoma","Personal history of Hodgkin lymphoma","Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues"
"Z857","2","Z8572","Personal history of non-Hodgkin lymphomas","Personal history of non-Hodgkin lymphomas","Personal history of other malignant neoplasms of lymphoid, hematopoietic and related tissues"
